science_family,common_family,Hawaiian Name,Common Name,Scientific Name,Length at maturity (in),Mean asymptotic length (Loo; in),DAR minimum size limit (in)
Acanthuridae,Surgeonfishes,Kole,Goldring Surgeonfish,Ctenochaetus strigosus,3,7,
Scaridae,Parrotfishes,Uhu,Palenose Parrotfish,Scarus psittacus,5,13,12
Mullidae,Goatfishes,Moano,Manybar Goatfish,Parupeneus multifasciatus,6,12,7
Acanthuridae,Surgeonfishes,Manini,Convict Tang,Acanthurus triostegus sandvicensis,6,7,5
Holocentridae,Squirrelfishes,‘Ū’ū,Bigscale Soldierfish,Myripristis berndti,6,10,
Scaridae,Parrotfishes,Uhu,Bullethead Parrotfish,Chlorurus sordidus,7,12,
Scaridae,Parrotfishes,Uhu,Pacific Daisy Parrotfish,Chlorurus spilurus,7,14,12
Mullidae,Goatfishes,Weke 'ula,Yellowfin Goatfish,Mulloidichthys vanicolensis,7,9,
Mullidae,Goatfishes,Weke’ā,Yellowstripe Goatfish,Mulloidichthys flavolineatus,7,13,7
Lutjanidae,Snappers,Ta'ape,Bluestipe Snapper,Lutjanus kasmira,8,13,
Acanthuridae,Surgeonfishes,Umauma lei,Orangespine Unicornfish,Naso lituratus,8,10,
Mullidae,Goatfishes,Kūmū,Whitesaddle Goatfish,Parupeneus porphyreus,9,19,10
Acanthuridae,Surgeonfishes,Pualu,Ringtail Surgeonfish,Acanthurus blochii,10,13,
Carangidae,Jacks,Butaguchi,Thick Lipped Jack,Pseudocaranx dentex,10,49,
Serranidae,Sea basses,Roi,Peacock Grouper,Cephalopholis argus,11,20,
Acanthuridae,Surgeonfishes,Kala Lolo,Paletail Unicornfish,Naso brevirostris,11,13,14
Acanthuridae,Surgeonfishes,Palani,Eyestriped Surgeonfish,Acanthurus dussumieri,11,15,
Mugilidae,Mullets,Ama'ama,Striped Mullet,Mugil cephalus,12,22,11
Scaridae,Parrotfishes,Uhu-uliuli,Spectacled Parrotfish,Chlorurus perspicillatus,14,21,12
Scaridae,Parrotfishes,Uhu pālukaluka,Redlip Parrotfish,Scarus rubroviolaceus,14,21,12
Acanthuridae,Surgeonfishes,Kala,Bluespine Unicornfish,Naso unicornis,14,19,14
Carangidae,Jacks,Ulua lā’uli ,Black Trevally,Caranx lugubris,15,32,10
Albulidae,Bonefishes,‘Ō'io,Shortjaw Bonefish,Albula glossodonta,17,26,14
Acanthuridae,Surgeonfishes,Pualu,Yellowfin Surgeonfish,Acanthurus xanthopterus,17,20,
Albulidae,Bonefishes,‘Ō'io,Longjaw Bonefish,Albula virgata,17,22,
Lutjanidae,Snappers,Uku,Green Jobfish,Aprion virescens,18,30,
Carangidae,Jacks,‘Ōmilu,Bluefin Trevally,Caranx melampygus,18,40,10
Carangidae,Jacks,Pake ulua,Bigeye Trevally,Caranx sexfasciatus,18,31,10
Acanthuridae,Surgeonfishes,‘Ōpelu kala,Sleek Unicornfish,Naso hexacanthus,20,24,16
Carangidae,Jacks,Kamanu,Rainbow Runner,Elagatis bipinnulata,25,37,
Carangidae,Jacks,Ulua aukea,Giant Trevally,Caranx ignobilis,29,77,10
Sphyraenidae,Barracudas,Kākū,Great Barracuda,Sphyraena barracuda,31,49,
Carangidae,Jacks,Kahala,Greater Amberjack,Seriola dumerili,31,44,